Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Operating Area of Retail Enterprises of Convenience Store(10000 sq.m),,190.79,162.25,149.62,144.8,131.35,111.17,109.67,107.2,144.27
Operating Area of Retail Enterprises of Discount Store(10000 sq.m),,19.36,18.31,18.89,17.7,17.73,18.54,26.86,21.4,24.32
Operating Area of Retail Enterprises of Supermarket(10000 sq.m),,2112.89,1918.04,1918.66,1890.82,1853.29,1771.25,2190.89,1924.5,1924.85
Operating Area of Retail Enterprises of Hypermarket(10000 sq.m),,3539.81,3762.17,3369.38,3109.15,3106.52,2744.86,1760.62,1843.7,1844.77
Operating Area of Retail Enterprises of Warehouse Club(10000 sq.m),,68.12,68.18,69.73,66.38,64.81,90.44,234.17,54.4,54.84
Operating Area of Retail Enterprises of Department Store(10000 sq.m),,2842.95,2737.88,2104.38,1984.81,1860.91,1696.73,1722.3,1480.6,1338.37
Operating Area of Retail Enterprises of Specialty Store(10000 sq.m),,7774.99,8547.76,8480.62,8260.76,6848.2,6480.38,7142.53,6755.3,6075.35
Operating Area of Retail Enterprises of Gas Station(10000 sq.m),,4841.94,5680.27,5751.37,5490.4,4079.57,3666.26,4737.9,4741.6,4295.23
Operating Area of Retail Enterprises of Franchised Store(10000 sq.m),,498.58,459.28,467.88,444.07,477.8,471.21,366.71,450.2,247.15
Operating Area of Retail Enterprises of Building Material Store(10000 sq.m),,21,21.16,32.71,44.5,44.98,32.41,60.76,62.5,79.29
Operating Area of Retail Enterprises of Factory Outlets Center(10000 sq.m),,16.39,15.65,2.8,3.27,3.05,0.58,0.16,4,3.24
Operating Area of Retail Enterprises of Other Store(10000 sq.m),,244.74,249.42,247.72,255.03,1231.73,1348.28,55.99,52.9,72.74
Data Sources：National Bureau of Statistics,,,,,,,,,,
