Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Total Sales of Commodities of Convenience Store(100 million yuan),,482.89,422.45,387.23,345.97,311.3,263.92,225.98,246.6,269.83
Total Sales of Commodities of Discount Store(100 million yuan),,26.68,29.81,31.45,29.55,32.92,34.26,47.63,36.1,37.17
Total Sales of Commodities of Supermarket(100 million yuan),,3520.31,3067.15,3118.14,2981.75,2889.21,2915.89,3398.22,2766.9,2569.52
Total Sales of Commodities of Hypermarket(100 million yuan),,4415.07,5108.02,4962.92,4647.2,4734.15,4221.95,2594.54,2919.1,2443.55
Total Sales of Commodities of Warehouse Club(100 million yuan),,230.46,259.34,250.3,240.92,234.64,216.3,795.68,171.8,142.53
Total Sales of Commodities of Department Store(100 million yuan),,3778.03,3896.5,3841.57,3806.1,3703.97,3251.78,3226.82,2671.5,2498.25
Total Sales of Commodities of Specialty Store(100 million yuan),,20392.78,20573.71,20520.99,23345.78,22492.8,19628.96,22919.28,17233.2,13373.94
Total Sales of Commodities of Gas Station(100 million yuan),,12628.28,12956.98,13313.94,16786.3,14791.7,12413.55,15742.61,11822.6,8996.21
Total Sales of Commodities of Franchised Store(100 million yuan),,2152.65,1992.18,1739.7,1400.31,1582.7,2260.4,1031.01,1072.9,697.31
Total Sales of Commodities of Building Material Store(100 million yuan),,46.46,44.07,46.92,50.9,51.64,47.29,64.67,56.4,63.35
Total Sales of Commodities of Factory Outlets Center(100 million yuan),,57.58,59.85,17.69,16.44,11.13,3.81,2.92,3.5,1.52
Total Sales of Commodities of Other Store(100 million yuan),,526.15,469.82,483.49,475.67,1962.42,2617.53,203.95,207.3,143.03
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,
